ASD Acronym,Designation,Title of Standard,Link
,ISO 8536-6:2016,Infusion equipment for medical use  Part 6: Freeze drying closures for infusion bottles,https://www.iso.org/standard/69394.html
,ISO 8536-7:2009,Infusion equipment for medical use  Part 7: Caps made of aluminium-plastics combinations for infusion bottles,https://www.iso.org/standard/52178.html
,ISO 8536-8:2015,Infusion equipment for medical use  Part 8: Infusion sets for single use with pressure infusion apparatus,https://www.iso.org/standard/63619.html
,ISO 8536-9:2015,Infusion equipment for medical use  Part 9: Fluid lines for single use with pressure infusion equipment,https://www.iso.org/standard/63620.html
,ISO 8536-10:2015,Infusion equipment for medical use  Part 10: Accessories for fluid lines for single use with pressure infusion equipment,https://www.iso.org/standard/63621.html
,ISO 8536-11:2015,Infusion equipment for medical use  Part 11: Infusion filters for single use with pressure infusion equipment,https://www.iso.org/standard/63622.html
,ISO 8536-12:2021,Infusion equipment for medical use  Part 12: Check valves for single use,https://www.iso.org/standard/79681.html
,ISO 8536-13:2024,Infusion equipment for medical use  Part 13: Graduated flow regulators for single use with fluid contact,https://www.iso.org/standard/85016.html
,ISO 8536-14:2016,Infusion equipment for medical use  Part 14: Clamps and flow regulators for transfusion and infusion equipment without fluid contact,https://www.iso.org/standard/66125.html
,ISO 8536-15:2022 /Amd 1:2023,Infusion equipment for medical use  Part 15: Light-protective infusion sets for single use  Amendment 1,https://www.iso.org/standard/85079.html
,ISO 8871-1:2003,Elastomeric parts for parenterals and for devices for pharmaceutical use  Part 1: Extractables in aqueous autoclavates,https://www.iso.org/standard/33770.html
,ISO 8871-2:2020,Elastomeric parts for parenterals and for devices for pharmaceutical use  Part 2: Identification and characterization,https://www.iso.org/standard/76110.html
,ISO 8871-3:2003 /Amd 1:2018,Elastomeric parts for parenterals and for devices for pharmaceutical use  Part 3: Determination of released-particle count  Amendment 1,https://www.iso.org/standard/73593.html
,ISO 8871-4:2006,Elastomeric parts for parenterals and for devices for pharmaceutical use  Part 4: Biological requirements and test methods,https://www.iso.org/standard/33787.html
,ISO 8871-5:2016,Elastomeric parts for parenterals and for devices for pharmaceutical use  Part 5: Functional requirements and testing,https://www.iso.org/standard/68560.html
,ISO 8871:1990 /Amd 1:1995,Elastomeric parts for aqueous parenteral preparations  Amendment 1,https://www.iso.org/standard/23039.html
,ISO 8872:2022,Aluminium caps and aluminium/plastic caps for infusion bottles and injection vials  General requirements and test methods,https://www.iso.org/standard/82226.html
,ISO 9187-1:2010,Injection equipment for medical use  Part 1: Ampoules for injectables,https://www.iso.org/standard/55920.html
,ISO 9187-2:2010,Injection equipment for medical use  Part 2: One-point-cut (OPC) ampoules,https://www.iso.org/standard/55921.html
,ISO 9997:2020,Dentistry  Cartridge syringes,https://www.iso.org/standard/73465.html
,ISO 10985:2009,Caps made of aluminium-plastics combinations for infusion bottles and injection vials  Requirements and test methods,https://www.iso.org/standard/52179.html
,ISO 11418-1:2016,Containers and accessories for pharmaceutical preparations  Part 1: Drop-dispensing glass bottles,https://www.iso.org/standard/67702.html
,ISO 11418-2:2016 /Amd 1:2017,Containers and accessories for pharmaceutical preparations  Part 2: Screw-neck glass bottles for syrups  Amendment 1,https://www.iso.org/standard/73362.html
,ISO 11418-3:2016 /Amd 1:2017,Containers and accessories for pharmaceutical preparations  Part 3: Screw-neck glass bottles (veral) for solid and liquid dosage forms  Amendment 1,https://www.iso.org/standard/73361.html
,ISO 11418-4:2005,Containers and accessories for pharmaceutical preparations  Part 4: Tablet glass bottles,https://www.iso.org/standard/38691.html
,ISO 11418-5:2015,Containers and accessories for pharmaceutical preparations  Part 5: Dropper assemblies,https://www.iso.org/standard/66669.html
,ISO 11418-7:2016,Containers and accessories for pharmaceutical preparations  Part 7: Screw-neck vials made of glass tubing for liquid dosage forms,https://www.iso.org/standard/66688.html
,ISO 15010:1998,Disposable hanging devices for transfusion and infusion bottles  Requirements and test methods,https://www.iso.org/standard/25574.html
,ISO 15137:2005,Self-adhesive hanging devices for infusion bottles and injection vials  Requirements and test methods,https://www.iso.org/standard/37391.html
,ISO 15375:2010,Medical infusion bottles  Suspension devices for multiple use  Requirements and test methods,https://www.iso.org/standard/52805.html
,ISO 15747:2018,Plastic containers for intravenous injections,https://www.iso.org/standard/70727.html
,ISO 15759:2005,Medical infusion equipment  Plastics caps with inserted elastomeric liner for containers manufactured by the blow-fill-seal (BFS) process,https://www.iso.org/standard/40901.html
,ISO/TR 19727:2017,Medical devices  Pump tube spallation test  General procedure,https://www.iso.org/standard/66132.html
,ISO 21649:2023,Needle-free injection systems for medical use  Requirements and test methods,https://www.iso.org/standard/82503.html
,ISO 22413:2021,Transfer sets for pharmaceutical preparations  Requirements and test methods,https://www.iso.org/standard/80893.html
,ISO/TS 23128:2019,Medical devices  Transfusion set and blood bag compatibility test method,https://www.iso.org/standard/78329.html
,ISO 24072:2023,Aerosol bacterial retention test method for air-inlet filter on administration devices,https://www.iso.org/standard/77704.html
,ISO 28620:2020,Medical devices  Non-electrically driven portable infusion devices,https://www.iso.org/standard/74736.html
,ISO 594-1:1986,Conical fittings with a 6 % (Luer) taper for syringes needles and certain other medical equipment  Part 1: General requirements,https://www.iso.org/standard/4693.html
,ISO 594-2:1998,Conical fittings with 6 % (Luer) taper for syringes needles and certain other medical equipment  Part 2: Lock fittings,https://www.iso.org/standard/29540.html
,ISO 595-1:1986,Reusable all-glass or metal-and-glass syringes for medical use  Part 1: Dimensions,https://www.iso.org/standard/4696.html
,ISO 595-2:1987,Reusable all-glass or metal-and-glass syringes for medical use  Part 2: Design performance requirements and tests,https://www.iso.org/standard/4697.html
,ISO 3749:2022,Glass syringes  Determination of extractable tungsten,https://www.iso.org/standard/79670.html
,ISO 6559:2024,Traditional Chinese medicine  Sterile three-edge needle for single use,https://www.iso.org/standard/82320.html
,ISO 7886-1:2017,Sterile hypodermic syringes for single use  Part 1: Syringes for manual use,https://www.iso.org/standard/64790.html
,ISO 7886-2:2020,Sterile hypodermic syringes for single use  Part 2: Syringes for use with power-driven syringe pumps,https://www.iso.org/standard/72444.html
,ISO 7886-3:2020,Sterile hypodermic syringes for single use  Part 3: Auto-disabled syringes for fixed-dose immunization,https://www.iso.org/standard/76605.html
,ISO 7886-4:2018,Sterile hypodermic syringes for single use  Part 4: Syringes with re-use prevention feature,https://www.iso.org/standard/70326.html
,ISO 8537:2016,Sterile single-use syringes with or without needle for insulin,https://www.iso.org/standard/60510.html
,ISO 9626:2016,Stainless steel needle tubing for the manufacture of medical devices  Requirements and test methods,https://www.iso.org/standard/60480.html
,ISO 10555-1:2023,Intravascular catheters  Sterile and single-use catheters  Part 1: General requirements,https://www.iso.org/standard/76494.html
,ISO 10555-2:1996 /Cor 1:2002,Sterile single-use intravascular catheters  Part 2: Angiographic catheters  Technical Corrigendum 1,https://www.iso.org/standard/37142.html
,ISO 10555-3:2013,Intravascular catheters  Sterile and single-use catheters  Part 3: Central venous catheters,https://www.iso.org/standard/57382.html
,ISO 10555-4:2023,Intravascular catheters  Sterile and single-use catheters  Part 4: Balloon dilatation catheters,https://www.iso.org/standard/76495.html
,ISO 10555-5:2013,Intravascular catheters  Sterile and single-use catheters  Part 5: Over-needle peripheral catheters,https://www.iso.org/standard/54885.html
,ISO 10555-6:2015 /Amd 1:2019,Intravascular catheters  Sterile and single-use catheters  Part 6: Subcutaneous implanted ports  Amendment 1,https://www.iso.org/standard/77743.html
,ISO 10555-7:2023,Intravascular catheters  Sterile and single-use catheters  Part 7: Peripherally inserted central catheters,https://www.iso.org/standard/79137.html
,ISO 10555-8:2024,Intravascular catheters  Sterile and single-use catheters  Part 8: Catheters for extracorporeal blood treatment,https://www.iso.org/standard/83286.html
,ISO 11040-4:2024,Prefilled syringes  Part 4: Glass barrels for injectables and sterilized subassembled syringes ready for filling,https://www.iso.org/standard/82222.html
,ISO 11040-5:2012,Prefilled syringes  Part 5: Plunger stoppers for injectables,https://www.iso.org/standard/53968.html
,ISO 11040-6:2019,Prefilled syringes  Part 6: Plastic barrels for injectables and sterilized subassembled syringes ready for filling,https://www.iso.org/standard/69487.html
,ISO 11040-7:2024,Prefilled syringes  Part 7: Packaging systems for sterilized subassembled syringes ready for filling,https://www.iso.org/standard/82921.html
,ISO 11040-8:2016,Prefilled syringes  Part 8: Requirements and test methods for finished prefilled syringes,https://www.iso.org/standard/66036.html
,ISO 11070:2014 /Amd 1:2018,Sterile single-use intravascular introducers dilators and guidewires  Amendment 1,https://www.iso.org/standard/72859.html
,ISO 11608-1:2022,Needle-based injection systems for medical use  Requirements and test methods  Part 1: Needle-based injection systems,https://www.iso.org/standard/70733.html
,ISO 11608-2:2022,Needle-based injection systems for medical use  Requirements and test methods  Part 2: Double-ended pen needles,https://www.iso.org/standard/70734.html
,ISO 11608-3:2022,Needle-based injection systems for medical use  Requirements and test methods  Part 3: Containers and integrated fluid paths,https://www.iso.org/standard/76626.html
,ISO 11608-4:2022,Needle-based injection systems for medical use  Requirements and test methods  Part 4: Needle-based injection systems containing electronics,https://www.iso.org/standard/72450.html
,ISO 11608-5:2022,Needle-based injection systems for medical use  Requirements and test methods  Part 5: Automated functions,https://www.iso.org/standard/76627.html
,ISO 11608-6:2022,Needle-based injection systems for medical use  Requirements and test methods  Part 6: On-body delivery systems,https://www.iso.org/standard/72451.html
,ISO 11608-7:2016,Needle-based injection systems for medical use  Requirements and test methods  Part 7: Accessibility for persons with visual impairment,https://www.iso.org/standard/62507.html
,ISO 13926-1:2018,Pen systems  Part 1: Glass cylinders for pen-injectors for medical use,https://www.iso.org/standard/73466.html
